ip,domain
103.93.55.90,dot.sdmoko.net
104.128.93.161,dns.ailiannet.com
104.129.131.65,dns.jintegrate.co
104.145.76.108,com.apple.dnssd-proxy
104.156.229.86,jump.ddnsgeek.com
104.158.192.16,com.apple.dnssd-proxy
104.166.193.22,com.apple.dnssd-proxy
104.171.80.12,com.apple.dnssd-proxy
104.172.11.130,com.apple.dnssd-proxy
104.194.58.123,com.apple.dnssd-proxy
104.196.122.0,dns.erat.org
104.196.240.82,dns.heterodyn.com
104.200.139.82,atl50301.dnsfilter.co
104.200.139.82,dns1.dnsfilter.com
104.200.139.82,dns2.dnsfilter.com
104.200.139.82,dns3.dnsfilter.com
104.200.139.82,dns4.dnsfilter.com
104.200.139.83,atl50305.eerodns.com
104.200.139.83,dns1.eerodns.com
104.200.139.83,dns2.eerodns.com
104.200.139.85,atl50304.dnsfilter.co
104.200.139.85,dns1.dnsfilter.com
104.200.139.85,dns2.dnsfilter.com
104.200.139.85,dns3.dnsfilter.com
104.200.139.85,dns4.dnsfilter.com
104.200.139.86,atl50304.eerodns.com
104.200.139.86,dns1.eerodns.com
104.200.139.86,dns2.eerodns.com
104.200.139.88,atl50303.dnsfilter.co
104.200.139.88,dns1.dnsfilter.com
104.200.139.88,dns2.dnsfilter.com
104.200.139.88,dns3.dnsfilter.com
104.200.139.88,dns4.dnsfilter.com
104.200.139.89,atl50303.eerodns.com
104.200.139.89,dns1.eerodns.com
104.200.139.89,dns2.eerodns.com
104.200.140.18,atl50302.dnsfilter.co
104.200.140.18,dns1.dnsfilter.com
104.200.140.18,dns2.dnsfilter.com
104.200.140.18,dns3.dnsfilter.com
104.200.140.18,dns4.dnsfilter.com
104.200.140.19,atl50302.eerodns.com
104.200.140.19,dns1.eerodns.com
104.200.140.19,dns2.eerodns.com
104.207.131.11,tls.asecdns.ch
104.207.131.11,www.tls.asecdns.ch
104.207.131.136,dot.natalenko.name
104.207.135.57,104-207-135-57.digitdns.com
104.211.74.2,dns.strikerlulu.me
104.219.41.229,dns.minhajulhaque.com
104.219.41.229,dns.woosites.net
104.220.176.73,com.apple.dnssd-proxy
104.223.103.147,dns3.derekgordon.com
104.223.103.147,dns.derekgordon.com
104.223.103.147,privatedns.derekgordon.com
104.223.91.42,dns-edge-usa-east-atlantax.cleanbrowsing.org
104.223.91.43,dns-edge-usa-east-atlantax.cleanbrowsing.org
104.223.91.44,dns-edge-usa-east-atlantax.cleanbrowsing.org
104.223.91.45,dns-edge-usa-east-atlantax.cleanbrowsing.org
104.224.49.3,com.apple.dnssd-proxy
104.225.10.114,dns1.dnsfilter.com
104.225.10.114,dns2.dnsfilter.com
104.225.10.114,dns3.dnsfilter.com
104.225.10.114,dns4.dnsfilter.com
104.225.10.114,was20214.dnsfilter.co
104.225.10.115,dns1.eerodns.com
104.225.10.115,dns2.eerodns.com
104.225.10.115,was20214.eerodns.com
104.225.10.122,dns1.dnsfilter.com
104.225.10.122,dns2.dnsfilter.com
104.225.10.122,dns3.dnsfilter.com
104.225.10.122,dns4.dnsfilter.com
104.225.10.122,was20215.dnsfilter.co
104.225.10.123,dns1.eerodns.com
104.225.10.123,dns2.eerodns.com
104.225.10.123,was20215.eerodns.com
104.225.103.101,dns1.eerodns.com
104.225.103.101,dns2.eerodns.com
104.225.103.101,phx21801.eerodns.com
104.225.103.123,dns1.dnsfilter.com
104.225.103.123,dns2.dnsfilter.com
104.225.103.123,dns3.dnsfilter.com
104.225.103.123,dns4.dnsfilter.com
104.225.103.123,phx21801.dnsfilter.co
104.225.103.155,dns1.dnsfilter.com
104.225.103.155,dns2.dnsfilter.com
104.225.103.155,dns3.dnsfilter.com
104.225.103.155,dns4.dnsfilter.com
104.225.103.155,phx21802.dnsfilter.co
104.225.103.156,dns1.eerodns.com
104.225.103.156,dns2.eerodns.com
104.225.103.156,phx21802.eerodns.com
104.225.107.75,dns1.dnsfilter.com
104.225.107.75,dns2.dnsfilter.com
104.225.107.75,dns3.dnsfilter.com
104.225.107.75,dns4.dnsfilter.com
104.225.107.75,jnb22901.dnsfilter.co
104.225.107.86,dns1.dnsfilter.com
104.225.107.86,dns2.dnsfilter.com
104.225.107.86,dns3.dnsfilter.com
104.225.107.86,dns4.dnsfilter.com
104.225.107.86,jnb22902.dnsfilter.co
104.225.11.200,dns2-iad.securd.com
104.225.11.200,dns.securd.com
104.225.11.219,dns02-niad3-c2szps.001.prd.c2szps.spscld.net
104.225.112.226,dns1.dnsfilter.com
104.225.112.226,dns2.dnsfilter.com
104.225.112.226,dns3.dnsfilter.com
104.225.112.226,dns4.dnsfilter.com
104.225.112.226,lax20515.dnsfilter.co
104.225.112.227,dns1.eerodns.com
104.225.112.227,dns2.eerodns.com
104.225.112.227,lax20515.eerodns.com
104.225.112.234,dns1.dnsfilter.com
104.225.112.234,dns2.dnsfilter.com
104.225.112.234,dns3.dnsfilter.com
104.225.112.234,dns4.dnsfilter.com
104.225.112.234,lax20511.dnsfilter.co
104.225.112.235,dns1.eerodns.com
104.225.112.235,dns2.eerodns.com
104.225.112.235,lax20511.eerodns.com
104.225.11.245,dns1-iad.securd.com
104.225.11.245,dns.securd.com
104.225.12.146,dns2-dfw.securd.com
104.225.12.146,dns.securd.com
104.225.12.35,dns1-dfw.securd.com
104.225.12.35,dns.securd.com
104.225.17.10,dns1.dnsfilter.com
104.225.17.10,dns2.dnsfilter.com
104.225.17.10,dns3.dnsfilter.com
104.225.17.10,dns4.dnsfilter.com
104.225.17.10,nyc20114.dnsfilter.co
104.225.17.11,dns1.eerodns.com
104.225.17.11,dns2.eerodns.com
104.225.17.11,nyc20114.eerodns.com
104.225.17.2,dns1.dnsfilter.com
104.225.17.2,dns2.dnsfilter.com
104.225.17.2,dns3.dnsfilter.com
104.225.17.2,dns4.dnsfilter.com
104.225.17.2,nyc20115.dnsfilter.co
104.225.17.3,dns1.eerodns.com
104.225.17.3,dns2.eerodns.com
104.225.17.3,nyc20115.eerodns.com
104.225.9.178,dns1.dnsfilter.com
104.225.9.178,dns2.dnsfilter.com
104.225.9.178,dns3.dnsfilter.com
104.225.9.178,dns4.dnsfilter.com
104.225.9.178,was20212.dnsfilter.co
104.225.9.179,dns1.eerodns.com
104.225.9.179,dns2.eerodns.com
104.225.9.179,was20212.eerodns.com
104.225.9.186,dns1.dnsfilter.com
104.225.9.186,dns2.dnsfilter.com
104.225.9.186,dns3.dnsfilter.com
104.225.9.186,dns4.dnsfilter.com
104.225.9.186,was20213.dnsfilter.co
104.225.9.187,dns1.eerodns.com
104.225.9.187,dns2.eerodns.com
104.225.9.187,was20213.eerodns.com
104.225.96.234,dns1.dnsfilter.com
104.225.96.234,dns2.dnsfilter.com
104.225.96.234,dns3.dnsfilter.com
104.225.96.234,dns4.dnsfilter.com
104.225.96.234,mia21610.dnsfilter.co
104.225.96.235,dns1.eerodns.com
104.225.96.235,dns2.eerodns.com
104.225.96.235,mia21610.eerodns.com
104.225.96.242,dns1.dnsfilter.com
104.225.96.242,dns2.dnsfilter.com
104.225.96.242,dns3.dnsfilter.com
104.225.96.242,dns4.dnsfilter.com
104.225.96.242,mia21611.dnsfilter.co
104.225.96.243,dns1.eerodns.com
104.225.96.243,dns2.eerodns.com
104.225.96.243,mia21611.eerodns.com
104.225.97.210,dns1.dnsfilter.com
104.225.97.210,dns2.dnsfilter.com
104.225.97.210,dns3.dnsfilter.com
104.225.97.210,dns4.dnsfilter.com
104.225.97.210,sea20810.dnsfilter.co
104.225.97.211,dns1.eerodns.com
104.225.97.211,dns2.eerodns.com
104.225.97.211,sea20810.eerodns.com
104.225.97.218,dns1.dnsfilter.com
104.225.97.218,dns2.dnsfilter.com
104.225.97.218,dns3.dnsfilter.com
104.225.97.218,dns4.dnsfilter.com
104.225.97.218,sea20811.dnsfilter.co
104.225.97.219,dns1.eerodns.com
104.225.97.219,dns2.eerodns.com
104.225.97.219,sea20811.eerodns.com
104.225.98.234,ams21010.dnsfilter.co
104.225.98.234,dns1.dnsfilter.com
104.225.98.234,dns2.dnsfilter.com
104.225.98.234,dns3.dnsfilter.com
104.225.98.234,dns4.dnsfilter.com
104.225.98.235,ams21010.eerodns.com
104.225.98.235,dns1.eerodns.com
104.225.98.235,dns2.eerodns.com
104.225.98.242,ams21011.dnsfilter.co
104.225.98.242,dns1.dnsfilter.com
104.225.98.242,dns2.dnsfilter.com
104.225.98.242,dns3.dnsfilter.com
104.225.98.242,dns4.dnsfilter.com
104.225.98.243,ams21011.eerodns.com
104.225.98.243,dns1.eerodns.com
104.225.98.243,dns2.eerodns.com
104.238.130.12,dns.sivalik.com
104.238.154.123,dns.carter.me
104.238.162.7,104-238-162-7.digitdns.com
104.238.181.28,dns.nextdns.io
104.243.227.213,com.apple.dnssd-proxy
104.244.209.134,dns.nextdns.io
104.244.72.39,dns.bofh.in
104.244.72.77,dns1.nuked.me
104.244.73.65,adg.dns.hashemian.me
104.244.78.244,dot.chaoticlab.io
104.248.249.70,dns.jstorch.net
104.248.56.21,dns.byoc.io
