ip,path,flag,geth1,geth2,posth1,posth2,jsonh1,jsonh2
12.20.116.216,dns-query,true,true,true,true,true,false,false
12.20.116.216,query,true,true,true,true,true,false,false
12.20.116.216,resolve,true,true,true,true,true,false,false
12.20.116.216,,true,true,true,true,true,false,false
146.88.169.14,query,true,false,false,true,false,false,false
176.125.239.130,dns-query,true,true,true,true,true,false,false
176.125.239.130,query,true,true,true,true,true,false,false
176.125.239.130,resolve,true,true,false,true,true,false,false
211.119.27.203,,true,true,true,true,true,true,true
23.247.215.108,dns-query,true,true,true,true,true,true,true
23.247.215.108,query,true,true,true,true,true,true,true
23.247.215.108,resolve,true,true,true,true,true,true,true
23.247.215.108,,true,true,true,true,true,true,false
45.90.29.116,dns-query,true,true,true,true,true,true,true
45.90.29.116,query,true,true,true,true,true,true,true
45.90.29.116,resolve,true,true,true,true,true,true,true
45.90.29.116,,true,true,true,true,true,true,true
45.91.92.217,dns-query,true,true,true,true,true,false,false
75.75.77.37,dns-query,true,true,true,true,true,false,false
80.125.180.154,dns-query,true,true,true,true,true,false,false
80.125.180.154,query,true,true,true,true,true,false,false
80.125.180.154,resolve,true,true,true,true,true,false,false
80.125.180.154,,true,true,true,true,true,false,false
12.20.116.239,dns-query,true,true,true,true,true,false,false
12.20.116.239,query,true,true,true,true,true,false,false
12.20.116.239,resolve,true,true,true,true,true,false,false
12.20.116.239,,true,true,true,true,true,false,false
146.88.169.197,query,true,false,false,false,true,false,false
146.88.169.197,,true,false,false,true,true,false,false
176.125.239.174,dns-query,true,true,true,true,false,false,false
176.125.239.174,query,true,true,true,true,true,false,false
176.125.239.174,resolve,true,true,false,true,true,false,false
211.152.0.23,dns-query,true,true,true,true,true,true,true
211.152.0.23,query,true,true,true,true,true,true,true
211.152.0.23,resolve,true,true,true,true,true,true,true
211.152.0.23,,true,true,true,true,true,true,true
23.247.212.228,dns-query,true,true,true,true,true,true,true
23.247.212.228,query,true,true,true,true,true,true,true
23.247.212.228,resolve,true,true,true,true,true,true,true
23.247.212.228,,true,true,true,true,false,false,false
45.90.28.141,dns-query,true,true,true,true,true,true,true
45.90.28.141,query,true,true,true,true,true,true,true
45.90.28.141,resolve,true,true,true,true,true,true,true
45.90.28.141,,true,true,true,true,true,true,true
45.90.28.180,dns-query,true,true,true,true,true,true,true
45.90.28.180,query,true,true,true,true,true,true,true
45.90.28.180,resolve,true,true,true,true,true,true,true
45.90.28.180,,true,true,true,true,true,true,true
45.90.28.35,dns-query,true,true,true,true,true,true,true
45.90.28.35,query,true,true,true,true,true,true,true
45.90.28.35,resolve,true,true,true,false,false,false,false
76.76.2.79,dns-query,true,true,true,true,true,false,false
76.76.2.79,query,true,true,true,true,true,false,false
76.76.2.79,resolve,true,true,true,true,true,false,false
12.20.116.243,dns-query,true,true,true,true,true,false,false
12.20.116.243,query,true,true,true,true,true,false,false
12.20.116.243,resolve,true,true,true,true,true,false,false
12.20.116.243,,true,true,true,true,true,false,false
146.88.169.151,query,true,false,false,true,true,false,false
146.88.169.151,resolve,true,false,false,true,false,false,false
146.88.169.151,,true,false,false,false,true,false,false
170.10.132.32,dns-query,true,false,false,true,true,false,false
176.125.239.85,dns-query,true,true,true,true,true,false,false
176.125.239.85,query,true,true,true,true,true,false,false
176.125.239.85,resolve,true,true,true,true,false,false,false
23.247.213.160,dns-query,true,true,true,true,true,true,true
23.247.213.160,query,true,true,true,true,true,true,true
23.247.213.160,resolve,true,true,true,true,true,true,true
23.247.213.160,,true,true,true,true,false,false,false
45.90.28.61,dns-query,true,true,true,true,true,true,true
45.90.28.61,query,true,true,true,true,true,true,true
80.125.181.124,dns-query,true,true,true,true,true,false,false
80.125.181.124,query,true,true,true,true,true,false,false
80.125.181.124,resolve,true,true,true,true,true,false,false
80.125.181.124,,true,true,true,true,true,false,false
12.20.116.246,dns-query,true,true,true,true,true,false,false
12.20.116.246,query,true,true,true,true,true,false,false
12.20.116.246,resolve,true,true,true,true,true,false,false
12.20.116.246,,true,true,true,true,true,false,false
146.88.169.110,dns-query,true,false,false,false,true,false,false
146.88.169.110,resolve,true,false,false,true,true,false,false
146.88.169.110,,true,false,false,false,true,false,false
172.104.59.35,dns-query,true,true,true,true,true,false,false
175.178.69.119,dns-query,true,true,true,true,true,false,false
175.197.206.116,,true,true,true,true,true,true,true
176.125.239.8,dns-query,true,true,true,true,true,false,false
176.125.239.8,query,true,true,true,true,true,false,false
176.125.239.8,resolve,true,true,true,true,true,false,false
183.182.65.177,resolve,true,false,false,true,false,false,false
183.182.65.177,,true,false,false,true,false,false,false
54.169.113.231,dns-query,true,true,true,true,true,false,false
54.169.113.231,query,true,true,true,true,true,false,false
54.169.113.231,resolve,true,true,true,true,true,false,false
54.169.113.231,,true,true,true,true,true,false,false
63.240.152.194,dns-query,true,true,true,false,false,false,false
63.240.152.194,query,true,true,true,true,true,false,false
63.240.152.194,resolve,true,true,true,true,true,false,false
63.240.152.194,,true,true,true,true,true,false,false
12.20.116.27,dns-query,true,true,true,true,true,false,false
12.20.116.27,query,true,true,true,true,true,false,false
12.20.116.27,resolve,true,true,true,true,true,false,false
12.20.116.27,,true,true,true,true,true,false,false
146.88.165.93,dns-query,true,false,false,false,true,false,false
146.88.165.93,,true,false,false,true,false,false,false
176.125.239.113,dns-query,true,true,true,true,true,false,false
176.125.239.113,query,true,true,false,true,true,false,false
