ip,domain,path
37.252.249.233,dns1.nextdns.io,resolve
37.252.249.233,dns.nextdns.io,
37.252.249.233,dns.nextdns.io,dns-query
37.252.249.233,dns.nextdns.io,query
37.252.249.233,dns.nextdns.io,resolve
40.114.113.18,dns.doh.my.id,dns-query
40.76.112.230,dohtrial.att.net,
40.76.112.230,dohtrial.att.net,dns-query
40.76.112.230,dohtrial.att.net,query
40.76.112.230,dohtrial.att.net,resolve
43.129.162.220,i.passcloud.xyz,dns-query
45.11.104.186,chromium.dns.nextdns.io,
45.11.104.186,chromium.dns.nextdns.io,dns-query
45.11.104.186,chromium.dns.nextdns.io,query
45.11.104.186,chromium.dns.nextdns.io,resolve
45.11.104.186,dns.nextdns.io,
45.11.104.186,dns.nextdns.io,dns-query
45.11.104.186,dns.nextdns.io,query
45.11.104.186,dns.nextdns.io,resolve
45.11.45.11,public-dns-b.dns.sb,dns-query
45.125.0.26,hk-hkg.doh.sb,dns-query
45.132.74.167,doh.es.ahadns.net,dns-query
45.132.75.16,doh.pl.ahadns.net,dns-query
45.153.187.96,dnsse.alekberg.net,dns-query
45.67.219.208,doh.la.ahadns.net,dns-query
45.67.219.208,doh.westus.pi-dns.com,dns-query
45.76.113.31,dot.seby.io,dns-query
45.76.88.20,doh.eu.dnswarden.com,adblock
45.76.88.20,doh.eu.dnswarden.com,adultfilter
45.76.88.20,doh.eu.dnswarden.com,uncensored
45.79.120.233,doh.in.ahadns.net,dns-query
45.91.92.121,doh-ch.blahdns.com,dns-query
45.91.95.12,doh.it.ahadns.net,dns-query
46.101.66.244,doh.li,dns-query
46.226.108.173,dns.hostux.net,ads
46.226.108.173,dns.hostux.net,dns-query
46.226.109.82,dns.hostux.net,ads
46.226.109.82,dns.hostux.net,dns-query
46.227.200.54,rdns.faelix.net,
46.227.200.55,rdns.faelix.net,
46.239.223.80,dns.flatuslifir.is,dns-query
51.15.124.208,dnsnl.alekberg.net,dns-query
51.158.147.50,resolver-eu.lelux.fi,dns-query
51.38.83.141,dns.oszx.co,dns-query
5.1.66.255,doh.ffmuc.net,
5.1.66.255,doh.ffmuc.net,dns-query
5.1.66.255,doh.ffmuc.net,query
5.1.66.255,doh.ffmuc.net,resolve
51.79.176.85,doh1.b-cdn.net,dns-query
51.79.176.85,doh1.blahdns.com,dns-query
5.253.114.91,uk.adhole.org,dns-query
5.2.75.75,doh.nl.ahadns.net,dns-query
68.183.253.200,dns1.ryan-palmer.com,dns-query
72.11.134.90,dns.wevpn.com,dns-query
72.11.134.91,dns-weblock.wevpn.com,dns-query
75.75.77.99,doh.xfinity.com,dns-query
76.76.2.11,freedns.controld.com,dns-query
76.76.2.11,freedns.controld.com,p0
76.76.2.11,freedns.controld.com,p1
76.76.2.11,freedns.controld.com,p2
76.76.2.11,freedns.controld.com,p3
76.76.2.11,freedns.controld.com,query
76.76.2.11,freedns.controld.com,resolve
76.76.2.11,p0.freedns.controld.com,dns-query
76.76.2.11,p0.freedns.controld.com,query
76.76.2.11,p0.freedns.controld.com,resolve
76.76.2.11,p1.freedns.controld.com,dns-query
76.76.2.11,p1.freedns.controld.com,query
76.76.2.11,p1.freedns.controld.com,resolve
76.76.2.11,p2.freedns.controld.com,dns-query
76.76.2.11,p2.freedns.controld.com,query
76.76.2.11,p2.freedns.controld.com,resolve
76.76.2.11,p3.freedns.controld.com,dns-query
76.76.2.11,p3.freedns.controld.com,query
76.76.2.11,p3.freedns.controld.com,resolve
76.76.21.21,arashi.eu.org,dns-query
76.76.21.21,arashi.eu.org,resolve
78.46.244.143,doh-de.blahdns.com,dns-query
81.90.180.173,dns.comss.one,dns-query
84.17.37.209,doh2.b-cdn.net,dns-query
84.17.37.209,doh2.blahdns.com,dns-query
86.106.103.153,dns2.nextdns.io,
86.106.103.153,dns2.nextdns.io,dns-query
86.106.103.153,dns2.nextdns.io,query
86.106.103.153,dns2.nextdns.io,resolve
8.8.4.4,8888.google,dns-query
8.8.4.4,dns.google,dns-query
8.8.4.4,dns.google.com,dns-query
8.8.8.8,8888.google,dns-query
8.8.8.8,dns.google,dns-query
8.8.8.8,dns.google.com,dns-query
89.233.43.71,unicast.censurfridns.dk,
89.233.43.71,unicast.censurfridns.dk,dns-query
89.233.43.71,unicast.uncensoreddns.org,
89.233.43.71,unicast.uncensoreddns.org,dns-query
91.230.211.67,dns.east.comss.one,dns-query
91.239.100.100,anycast.censurfridns.dk,
91.239.100.100,anycast.censurfridns.dk,dns-query
91.239.100.100,anycast.uncensoreddns.org,
91.239.100.100,anycast.uncensoreddns.org,dns-query
92.223.109.31,dns.east.comss.one,dns-query
92.223.65.71,dns.comss.one,dns-query
93.104.213.190,doh.this.web.id,dns-query
94.140.14.140,dns-unfiltered.adguard.com,dns-query
94.140.14.141,dns-unfiltered.adguard.com,dns-query
94.140.14.14,dns.adguard.com,dns-query
94.140.14.15,dns-family.adguard.com,dns-query
94.140.15.15,dns.adguard.com,dns-query
94.140.15.16,dns-family.adguard.com,dns-query
95.215.19.53,dns.njal.la,dns-query
95.216.212.177,doh-fi.blahdns.com,dns-query
95.216.229.153,fi.doh.dns.snopyta.org,dns-query
95.217.213.94,dns-doh.dnsforfamily.com,dns-query
95.217.25.217,eu1.dns.lavate.ch,dns-query
9.9.9.10,dns10.quad9.net,dns-query
9.9.9.10,dns-nosec.quad9.net,dns-query
9.9.9.11,dns11.quad9.net,dns-query
9.9.9.12,dns12.quad9.net,dns-query
9.9.9.13,dns13.quad9.net,dns-query
9.9.9.9,dns9.quad9.net,dns-query
9.9.9.9,dns.quad9.net,dns-query
